# EEG Fpz-Cz,EEG Pz-Oz,EOG horizontal,Resp oro-nasal,EMG submental,Temp rectal,Event marker
6.800000000000001302e-05,8.719169719169715170e-06,1.201868131868131655e-04,-4.453966681144327140e+02,3.157484216044131868e-06,3.666487353241695502e+01,7.399455786131383093e+02
6.610695970695972912e-05,4.472527472527469098e-06,1.066373626373626188e-04,-4.474356836728788949e+02,3.157848857207749395e-06,3.663195281215864441e+01,7.310158879953759197e+02
4.817289377289378819e-05,1.490842490842487087e-06,5.846153846153844078e-05,-4.494226822431941173e+02,3.158216633709887919e-06,3.659881485212379459e+01,7.220107412583064388e+02
1.858168498168499719e-05,-5.873015873015909623e-07,9.158241758241755640e-05,-4.513569939510306881e+02,3.158587683710032173e-06,3.656547456967342669e+01,7.129336072759986109e+02
-2.485860805860804398e-05,-6.731379731379734927e-06,1.982051282051280701e-05,-4.532379718390548078e+02,3.158962145690032384e-06,3.653194703583032776e+01,7.037879996462819463e+02
-5.474871794871793762e-05,-6.460317460317463739e-06,4.441025641025639337e-05,-4.550649921753255853e+02,3.159340158131283923e-06,3.649824746490845939e+01,6.945774742827278487e+02
-7.666813186813185713e-05,-5.466422466422470230e-06,1.272124542124541892e-04,-4.568374547492076090e+02,3.159721859189916004e-06,3.646439120402294520e+01,6.853056269750592264e+02
-8.513699633699632434e-05,-8.628815628815630703e-06,1.442747252747252410e-04,-4.585547831546459747e+02,3.160107386370387112e-06,3.643039372248866670e+01,6.759760909199432035e+02
-8.712967032967031025e-05,-6.731379731379734927e-06,2.175421245421245095e-04,-4.602164250606508631e+02,3.160496876197855205e-06,3.639627060111597245e+01,6.665925342241417866e+02
-8.653186813186812532e-05,-9.984126984126987490e-06,2.556813186813186459e-04,-4.618218524688336402e+02,3.160890463889734329e-06,3.636203752141169332e+01,6.571586573820227386e+02
-8.015531135531133247e-05,-2.633821733821733985e-05,2.320952380952380576e-04,-4.633705619578536243e+02,3.161288283026818835e-06,3.632771025469406112e+01,6.476781907294490566e+02
-7.078974358974357431e-05,-8.448107448107451605e-06,2.822783882783882385e-04,-4.648620749146315916e+02,3.161690465224382604e-06,3.629330465113005744e+01,6.381548918760929610e+02
-5.933186813186811469e-05,-1.034554334554334907e-05,2.802710622710622356e-04,-4.662959377522035425e+02,3.162097139803641220e-06,3.625883662870378998e+01,6.285925431182306511e+02
-4.269304029304027951e-05,-6.641025641025644531e-06,2.867948717948717451e-04,-4.676717221140859806e+02,3.162508433463970973e-06,3.622432216212463629e+01,6.189949488340913604e+02
-1.828278388278387084e-05,-5.285714285714288591e-06,2.852893772893772971e-04,-4.689890250650358325e+02,3.162924469956306935e-06,3.618977727168383751e+01,6.093659328638558463e+02
3.935531135531149610e-06,-1.657997557997558386e-05,2.903076923076922502e-04,-4.702474692680970634e+02,3.163345369758081779e-06,3.615521801206843122e+01,5.997093358764007007e+02
2.575531135531136881e-05,-7.996336996336998778e-06,2.877985347985347465e-04,-4.714467031478262129e+02,3.163771249750140310e-06,3.612066046114118478e+01,5.900290127249041916e+02
5.604395604395606369e-05,-7.454212454212457249e-06,2.913113553113552516e-04,-4.725864010396070398e+02,3.164202222895992231e-06,3.608612070869568100e+01,5.803288297934363982e+02
6.929523809523811199e-05,-4.382173382173386325e-06,2.898058608058607494e-04,-4.736662633249604255e+02,3.164638397923833003e-06,3.605161484519507553e+01,5.706126623366586728e+02
9.051721611721613779e-05,-1.106837606837607055e-05,2.908095238095238051e-04,-4.746860165527733102e+02,3.165079879011693661e-06,3.601715895050386962e+01,5.608843918147720160e+02
9.998241758241759795e-05,-1.296581196581196971e-05,2.908095238095238051e-04,-4.756454135463712305e+02,3.165526765476140104e-06,3.598276908262121765e+01,5.511479032258473580e+02
1.033699633699633848e-04,-5.647130647130651022e-06,2.888021978021977480e-04,-4.765442334963707367e+02,3.165979151464884420e-06,3.594846126642502782e+01,5.414070824376796054e+02
1.058608058608058808e-04,-8.177045177045179570e-06,2.883003663003663015e-04,-4.773822820392523454e+02,3.166437125653722847e-06,3.591425148243559562e+01,5.316658135213041305e+02
1.079531135531135687e-04,-1.359829059829060164e-05,2.893040293040293029e-04,-4.781593913216080978e+02,3.166900770948156137e-06,3.588015565560769460e+01,5.219279760883117660e+02
1.125362637362637525e-04,-2.859706959706959721e-05,2.883003663003663015e-04,-4.788754200500171123e+02,3.167370164190090001e-06,3.584618964416014819e+01,5.121974426340975697e+02
1.095472527472527601e-04,-1.603785103785103979e-05,2.862930402930402986e-04,-4.795302535265198003e+02,3.167845375869981120e-06,3.581236922845167925e+01,5.024780758891686219e+02
1.094476190476190717e-04,-1.522466422466422707e-05,2.862930402930402986e-04,-4.801238036696634595e+02,3.168326469844803131e-06,3.577871009991179818e+01,4.927737261806317974e+02
1.045655677655677818e-04,1.852258852258848460e-06,2.842857142857142414e-04,-4.806560090211000329e+02,3.168813503062191289e-06,3.574522785003567549e+01,4.830882288059731877e+02
1.046652014652014838e-04,2.032967032967029252e-06,2.792673992673992342e-04,-4.811268347377290979e+02,3.169306525291141889e-06,3.571193795945168148e+01,4.734254014212258426e+02
1.057611721611721788e-04,8.990231990231985511e-06,2.767582417582417306e-04,-4.815362725693840957e+02,3.169805578859592573e-06,3.567885578707025473e+01,4.637890414456153962e+02
1.048644688644688878e-04,6.912087912087907249e-06,2.682271062271062182e-04,-4.818843408220655533e+02,3.170310698399263388e-06,3.564599655932278921e+01,4.541829234847532462e+02
1.019750915750915974e-04,7.092796092796088888e-06,2.677252747252746633e-04,-4.821710843067415908e+02,3.170821910598068213e-06,3.561337535949911626e+01,4.446107967744329130e+02
9.928498168498169746e-05,9.893772893772889471e-06,2.617032967032967088e-04,-4.823965742737333926e+02,3.171339233960459491e-06,3.558100711719195175e+01,4.350763826470662252e+02
9.709304029304030755e-05,-7.273504273504276456e-06,2.556813186813186459e-04,-4.825609083327200892e+02,3.171862678576006970e-06,3.554890659785687035e+01,4.255833720227780077e+02
9.280879120879122971e-05,-6.369963369963373343e-06,2.376153846153845656e-04,-4.826642103584023857e+02,3.172392245896554343e-06,3.551708839249599947e+01,4.161354229271508984e+02
8.683076923076924489e-05,-1.761904761904765475e-06,2.351062271062270891e-04,-4.827066303818716051e+02,3.172927928522237553e-06,3.548556690747363973e+01,4.067361580375940662e+02
8.473846153846155698e-05,2.258852258852221519e-07,2.220586080586080160e-04,-4.826883444677397392e+02,3.173469709996695097e-06,3.545435635447200440e+01,3.973891622602822054e+02
7.527326007326008326e-05,-9.622710622710625906e-06,2.080073260073259686e-04,-4.826095545770976969e+02,3.174017564611738835e-06,3.542347074059504308e+01,3.880979803395839554e+02
6.999267399267401248e-05,-1.142979242979243383e-05,1.904432234432234161e-04,-4.824704884163688803e+02,3.174571457221793217e-06,3.539292385862805190e+01,3.788661145018692764e+02
6.371575091575092163e-05,-3.930402930402934345e-06,1.834175824175823788e-04,-4.822713992721459135e+02,3.175131343068353632e-06,3.536272927746113481e+01,3.696970221355594504e+02
6.002930402930404906e-05,4.833943833943829835e-06,1.919487179487179183e-04,-4.820125658320904449e+02,3.175697167614752302e-06,3.533290033268380625e+01,3.605941135092442664e+02
5.564542124542125567e-05,5.195360195360190572e-06,1.668571428571428278e-04,-4.816942919920022064e+02,3.176268866391468468e-06,3.530345011735845162e+01,3.515607495296695788e+02
5.494798534798536196e-05,1.039072039072035319e-06,1.768937728937728694e-04,-4.813169066491543049e+02,3.176846364852245020e-06,3.527439147297975097e+01,3.426002395413480599e+02
3.970402930402931421e-05,2.936507936507932789e-06,1.472857142857142724e-04,-4.808807634820141743e+02,3.177429578241225026e-06,3.524573698062749116e+01,3.337158391695220985e+02
3.721318681318683182e-05,5.376068376068372211e-06,1.748864468864468665e-04,-4.803862407164664887e+02,3.178018411471355073e-06,3.521749895231956629e+01,3.249107482081668081e+02
4.229450549450551215e-05,-3.162393162393199330e-07,1.738827838827838380e-04,-4.798337408786719607e+02,3.178612759014245567e-06,3.518968942257207999e+01,3.161881085546771146e+02
4.239413919413921415e-05,5.647130647130642552e-06,1.879340659340659125e-04,-4.792236905346929916e+02,3.179212504801702314e-06,3.516232014017334251e+01,3.075510021928489550e+02
4.428717948717950483e-05,9.893772893772889471e-06,1.939560439560439212e-04,-4.785565400170393673e+02,3.179817522139121627e-06,3.513540256017810037e+01,2.990024492257171573e+02
4.080000000000001594e-05,-8.628815628815630703e-06,1.783992673992673716e-04,-4.778327631382784375e+02,3.180427673630903578e-06,3.510894783612844350e+01,2.905454059597743139e+02
4.109890109890111518e-05,-4.517704517704888393e-08,1.603333333333333184e-04,-4.770528568918771839e+02,3.181042811118082416e-06,3.508296681250746474e+01,2.821827630420447122e+02
4.657875457875459676e-05,-9.487179487179524405e-07,1.648498168498168520e-04,-4.762173411404403396e+02,3.181662775628291061e-06,3.505747001743165470e+01,2.739173436514454352e+02
5.086300366300368136e-05,-1.490842490842494287e-06,1.322307692307692236e-04,-4.753267582915225944e+02,3.182287397338226109e-06,3.503246765558779430e+01,2.657519017458191115e+02
4.707692307692309323e-05,-3.388278388278391545e-06,1.467838827838827717e-04,-4.743816729611974097e+02,3.182916495548727703e-06,3.500796960141978076e+01,2.576891203659746452e+02
4.618021978021979551e-05,-4.833943833943836611e-06,1.096483516483516367e-04,-4.733826716255748579e+02,3.183549878672593688e-06,3.498398539257094342e+01,2.497316099980173476e+02
4.368937728937729957e-05,-1.761904761904765475e-06,1.257069597069596870e-04,-4.723303622604653924e+02,3.184187344235226324e-06,3.496052422358678768e+01,2.418819069952108407e+02
4.109890109890111518e-05,6.098901098901094532e-06,9.358974358974357286e-05,-4.712253739693946955e+02,3.184828678888192012e-06,3.493759493988307696e+01,2.341424720605502330e+02
4.159706959706961166e-05,7.183150183150178437e-06,9.459340659340657431e-05,-4.700683566001856661e+02,3.185473658435791447e-06,3.491520603198420503e+01,2.265156887911785191e+02
4.139780219780221442e-05,1.278510378510378045e-05,8.857142857142855205e-05,-4.688599803503233829e+02,3.186122047874674080e-06,3.489336563003595870e+01,2.190038622857267683e+02
3.402490842490843540e-05,4.743589743589739439e-06,8.104395604395602762e-05,-4.676009353613331996e+02,3.186773601446558715e-06,3.487208149859722539e+01,2.116092178155980434e+02
3.163369963369964824e-05,-4.653235653235656666e-06,6.498534798534796376e-05,-4.662919313024029293e+02,3.187428062704096256e-06,3.485136103171446820e+01,2.043338995611657367e+02
3.541978021978023637e-05,-2.032967032967036875e-06,6.849816849816848239e-05,-4.649336969434916682e+02,3.188085164589877545e-06,3.483121124828289794e+01,1.971799694137993129e+02
2.655238095238096792e-05,-4.924297924297927854e-06,5.444688644688642820e-05,-4.635269797181725835e+02,3.188744629528621048e-06,3.481163878769771713e+01,1.901494058445690314e+02
2.465934065934067385e-05,-8.177045177045179570e-06,3.638095238095236144e-05,-4.620725452764587544e+02,3.189406169532496311e-06,3.479264990579886074e+01,1.832441028404330439e+02
2.426080586080587599e-05,-4.517704517704888393e-08,4.491208791208789409e-05,-4.605711770278795711e+02,3.190069486319594232e-06,3.477425047111233880e+01,1.764658689086407719e+02
2.535677655677657095e-05,-4.382173382173386325e-06,3.387179487179485781e-05,-4.590236756750652489e+02,3.190734271445484822e-06,3.475644596139072462e+01,1.698164261500391490e+02
2.266666666666668117e-05,-2.123321123321126848e-06,3.035897435897434257e-05,-4.574308587381194116e+02,3.191400206447827334e-06,3.473924146045573735e+01,1.632974094018969424e+02
1.758534798534800084e-05,-2.258852258852295635e-07,1.480219780219778790e-05,-4.557935600700502619e+02,3.192066963003955237e-06,3.472264165534494396e+01,1.569103654508161583e+02
2.127179487179488697e-05,1.355311355311318353e-07,2.758241758241744664e-06,-4.541126293635508091e+02,3.192734203101371661e-06,3.470665083376467663e+01,1.506567523162253792e+02
1.917948717948719567e-05,-3.659340659340662733e-06,-8.783882783882797002e-06,-4.523889316494120294e+02,3.193401579221055381e-06,3.469127288185115532e+01,1.445379386049001482e+02
1.379926739926741441e-05,2.123321123321119648e-06,-6.776556776556789866e-06,-4.506233467868686375e+02,3.194068734533467624e-06,3.467651128224114387e+01,1.385552029368880369e+02
1.479560439560440906e-05,4.382173382173377854e-06,-2.735164835164836280e-05,-4.488167689461715781e+02,3.194735303107151719e-06,3.466236911245354690e+01,1.327097334431577735e+02
7.721611721611736047e-06,-6.776556776556813583e-07,-1.179487179487180813e-05,-4.469701060836985675e+02,3.195400910129780752e-06,3.464884904358297746e+01,1.270026273352289081e+02
8.120146520146533906e-06,-1.400488400488404103e-06,-4.391208791208792400e-05,-4.450842794099086746e+02,3.196065172141508779e-06,3.463595333930607723e+01,1.214348905469770443e+02
7.422710622710636805e-06,-3.117216117216120780e-06,-1.932234432234433425e-05,-4.431602228504563641e+02,3.196727697280470630e-06,3.462368385520103686e+01,1.160074374487494282e+02
5.131135531135545728e-06,-5.873015873015909623e-07,-2.735164835164836280e-05,-4.411988825007858281e+02,3.197388085540245192e-06,3.461204203838067173e+01,1.107210906338609391e+02
2.540659340659354562e-06,2.755799755799751997e-06,-2.634798534798536135e-05,-4.392012160745283040e+02,3.198045929039103887e-06,3.460102892743899616e+01,1.055765807774803733e+02
9.515018315018328106e-06,1.039072039072035319e-06,-8.305494505494506188e-05,-4.371681923460286612e+02,3.198700812300839372e-06,3.459064515271098372e+01,1.005745465678552080e+02
1.145787545787559938e-06,-1.400488400488404103e-06,-6.699633699633699801e-05,-4.351007905873375421e+02,3.199352312546955049e-06,3.458089093684518645e+01,9.571553470976107292e+01
6.824908424908439170e-06,-5.285714285714288591e-06,-1.011208791208791286e-04,-4.330000000000000000e+02,3.200000000000000279e-06,3.457176609568811898e+01,9.100000000000004263e+01
4.035164835164849075e-06,-7.002442002442005268e-06,-1.201904761904761969e-04,-4.308668191419830578e+02,3.200643438197799269e-06,3.456327003947969700e+01,8.642830547471056946e+01
1.843223443223457250e-06,1.852258852258848460e-06,-1.633479853479853541e-04,-4.287022553500832487e+02,3.201282184318328869e-06,3.455540177435814542e+01,8.200072262819203672e+01
-2.142124542124528328e-06,1.355311355311318353e-07,-1.799084249084249322e-04,-4.265073241581617367e+02,3.201915789514975483e-06,3.454815990417306892e+01,7.771743170288297620e+01
-1.643956043956029945e-06,-2.258852258852295635e-07,-1.954652014652014818e-04,-4.242830487115542155e+02,3.202543799261903010e-06,3.454154263260468838e+01,7.357852205007584701e+01
-2.640293040293026498e-06,-4.562881562881566270e-06,-2.070073260073259985e-04,-4.220304591780083001e+02,3.203165753709228159e-06,3.453554776558723916e+01,6.958399256088952711e+01
-1.599120879120877553e-05,-5.376068376068379834e-06,-1.929560439560439511e-04,-4.197505921555022610e+02,3.203781188047722346e-06,3.453017271403431465e+01,6.573375216695697532e+01
-2.216849816849815759e-05,-8.086691086691090021e-06,-2.055018315018314963e-04,-4.174444900773024756e+02,3.204389632882705162e-06,3.452541449686341934e+01,6.202762041023361661e+01
-2.555604395604394108e-05,-7.996336996336998778e-06,-2.220622710622710474e-04,-4.151132006146174263e+02,3.204990614616835926e-06,3.452126974431703843e+01,5.846532808127052050e+01
-2.734945054945053653e-05,-4.382173382173386325e-06,-2.200549450549450445e-04,-4.127577760772094848e+02,3.205583655841435289e-06,3.451773470157711188e+01,5.504651792523567622e+01
-2.954139194139192645e-05,1.956166056166055422e-05,-2.265787545787545810e-04,-4.103792728123265761e+02,3.206168275736024738e-06,3.451480523266973677e+01,5.177074541491320048e+01
-3.033846153846152556e-05,1.129426129426125503e-06,-2.471538461538461649e-04,-4.079787506023183710e+02,3.206743990475715145e-06,3.451247682465630362e+01,4.863747958985630504e+01
-3.342710622710621659e-05,9.984126984126980714e-06,-2.341062271062271190e-04,-4.055572720613006936e+02,3.207310313646068678e-06,3.451074459210757084e+01,4.564610396080401955e+01
-4.129816849816848531e-05,1.350793650793650362e-05,-2.310952380952380875e-04,-4.031159020312354073e+02,3.207866756665090617e-06,3.450960328185653481e+01,4.279591747843210214e+01
-2.984029304029302569e-05,6.731379731379727304e-06,-2.130293040293040072e-04,-4.006557069777923630e+02,3.208412829211938986e-06,3.450904727802583238e+01,4.008613556543900813e+01
-3.960439560439559187e-05,7.002442002441998492e-06,-2.029926739926739927e-04,-3.981777543863616984e+02,3.208948039661974226e-06,3.450907060732529175e+01,3.751589121092879253e+01
-3.691428571428570548e-05,2.213675213675209620e-06,-2.341062271062271190e-04,-3.956831121585811388e+02,3.209471895527749116e-06,3.450966694461495621e+01,3.508423612598834040e+01
-3.591794871794870575e-05,4.111111111111106666e-06,-2.516703296703296715e-04,-3.931728480097513057e+02,3.209983903905530232e-06,3.451082961872855037e+01,3.279014195931858211e+01
-3.731282051282049995e-05,9.893772893772889471e-06,-2.526739926739926729e-04,-3.906480288675012957e+02,3.210483571926924059e-06,3.451255161855242903e+01,3.063250157171417953e+01
-4.349010989010987523e-05,-1.350793650793651039e-05,-2.471538461538461649e-04,-3.881097202720764585e+02,3.210970407215203285e-06,3.451482559935465844e+01,2.861013036815301902e+01
-4.169670329670327978e-05,-1.278510378510378892e-05,-2.501648351648351693e-04,-3.855589857786120547e+02,3.211443918345885627e-06,3.451764388935858108e+01,2.672176768619776510e+01
-4.827252747252746309e-05,-4.111111111111115137e-06,-2.486593406593406671e-04,-3.829968863617602324e+02,3.211903615311139123e-06,3.452099849655532182e+01,2.496607823937176818e+01
-5.086300366300364748e-05,-1.197191697191697451e-05,-2.376190476190475969e-04,-3.804244798230339484e+02,3.212349009987568360e-06,3.452488111574911045e+01,2.334165361412055617e+01
-4.627985347985347041e-05,-1.368864468864469119e-05,-2.386227106227106255e-04,-3.778428202012331099e+02,3.212779616606928895e-06,3.452928313582959419e+01,2.184701381893603411e+01
-4.568205128205126515e-05,-1.106837606837607055e-05,-2.290879120879120846e-04,-3.752529571863120168e+02,3.213194952229317129e-06,3.453419564726448954e+01,2.048060888416607028e+01
-4.667838827838826488e-05,-1.414041514041514232e-05,-2.270805860805860817e-04,-3.726559355370518460e+02,3.213594537218386705e-06,3.453960944980644854e+01,1.924082051099960822e+01
-4.906959706959705881e-05,-1.124908424908425134e-05,-2.376190476190475969e-04,-3.700527945028928798e+02,3.213977895718109475e-06,3.454551506040719744e+01,1.812596376807405463e+01
-5.086300366300364748e-05,-2.173015873015873389e-05,-1.979743589743589583e-04,-3.674445672502837397e+02,3.214344556130630829e-06,3.455190272133243212e+01,1.713428883411533477e+01
-4.946813186813185328e-05,-2.846153846153849592e-06,-1.904468864468864475e-04,-3.648322802939011353e+02,3.214694051594738281e-06,3.455876240847023695e+01,1.626398278498098549e+01
-5.265641025641024293e-05,-4.743589743589747062e-06,-2.080109890109889999e-04,-3.622169529330909654e+02,3.215025920464476161e-06,3.456608383982603527e+01,1.551317142344297118e+01
-5.544615384615383133e-05,-7.454212454212457249e-06,-1.829194139194139095e-04,-3.595995966938762649e+02,3.215339706787427011e-06,3.457385648419682411e+01,1.487992115001551063e+01
-4.946813186813185328e-05,-4.201465201465204686e-06,-1.708754578754578921e-04,-3.569812147768796535e+02,3.215634960782167954e-06,3.458206957001713988e+01,1.436224087309596698e+01
-4.598095238095236439e-05,-1.142979242979243383e-05,-1.919523809523809496e-04,-3.543628015114966274e+02,3.215911239314458226e-06,3.459071209436938688e+01,1.395808395665883950e+01
-4.229450549450548504e-05,-7.183150183150186907e-06,-1.789047619047619308e-04,-3.517453418166633696e+02,3.216168106371631832e-06,3.459977283215067700e+01,1.366535020371518705e+01
-4.239413919413918705e-05,-4.382173382173386325e-06,-1.553186813186813425e-04,-3.491298106685453604e+02,3.216405133534743454e-06,3.460924034538849270e+01,1.348188787371688413e+01
-3.940512820512818786e-05,-8.357753357753362056e-06,-1.944615384615384804e-04,-3.465171725754815384e+02,3.216621900447972509e-06,3.461910299269719360e+01,1.340549573206785006e+01
-3.990329670329668434e-05,-8.899877899877902738e-06,-1.573260073260073183e-04,-3.439083810605054055e+02,3.216817995284805943e-06,3.462934893886733789e+01,1.343392512986979703e+01
-3.392527472527471306e-05,-9.442002442002445114e-06,-1.513040293040293096e-04,-3.413043781517661728e+02,3.216993015210523303e-06,3.463996616457976785e+01,1.356488211201697780e+01
-3.801025641025639366e-05,-7.544566544566547645e-06,-1.392600732600732651e-04,-3.387060938811618485e+02,3.217146566840491539e-06,3.465094247623611778e+01,1.379602955172622281e+01
-4.398827838827837171e-05,-8.583638583638620445e-07,-1.603369963369963497e-04,-3.361144457915001453e+02,3.217278266693799423e-06,3.466226551589748794e+01,1.412498930957618448e+01
-4.478534798534797420e-05,-4.201465201465204686e-06,-1.372527472527472622e-04,-3.335303384524858075e+02,3.217387741641761075e-06,3.467392277132292833e+01,1.454934441510409293e+01
-4.528351648351647068e-05,1.490842490842487087e-06,-1.156739926739926768e-04,-3.309546629858405709e+02,3.217474629350793912e-06,3.468590158609919882e+01,1.506664126900490253e+01
-4.737582417582415859e-05,8.357753357753353585e-06,-9.961538461538462647e-05,-3.283882965998448640e+02,3.217538578719227191e-06,3.469818916985330048e+01,1.567439186394804373e+01
-5.295531135531134217e-05,-1.039072039072042731e-06,-1.277179487179487213e-04,-3.258321021335943328e+02,3.217579250307551121e-06,3.471077260853923718e+01,1.637007602202938727e+01
-5.594432234432233458e-05,1.423076923076922509e-05,-1.116593406593406710e-04,-3.232869276112488706e+02,3.217596316761654240e-06,3.472363887479023248e+01,1.715114364685901904e+01
-5.544615384615383133e-05,-2.304029304029307640e-06,-1.538131868131868132e-04,-3.207536058065533098e+02,3.217589463228586994e-06,3.473677483832789648e+01,1.801501698827549447e+01
-5.793699633699632727e-05,-1.161050061050061292e-05,-8.054578754578755825e-05,-3.182329538178985331e+02,3.217558387764406835e-06,3.475016727641948222e+01,1.895909291767786797e+01
-4.339047619047617323e-05,-6.279609279609282947e-06,-1.437765567765567716e-04,-3.157257726541863008e+02,3.217502801733638107e-06,3.476380288437448485e+01,1.998074521195088948e+01
-5.285567765567764016e-05,4.517704517704145916e-08,-1.091501831501831673e-04,-3.132328468317523402e+02,3.217422430199924069e-06,3.477766828607197880e+01,2.107732684396944478e+01
-4.189597069597067702e-05,6.098901098901094532e-06,-4.993406593406594625e-05,-3.107549439825996842e+02,3.217317012307419147e-06,3.479175004450968345e+01,2.224617227765296690e+01
-3.153406593406591913e-05,8.583638583638546330e-07,2.534065934065932854e-05,-3.082928144741808865e+02,3.217186301652505955e-06,3.480603467236610271e+01,2.348459976555391293e+01
-2.455970695970694474e-05,-1.942612942612946479e-06,-2.684981684981685868e-05,-3.058471910409673455e+02,3.217030066645407213e-06,3.482050864256694211e+01,2.478991364695830057e+01
-3.043809523809522417e-05,5.918192918192913740e-06,2.835164835164833628e-05,-3.034187884280287335e+02,3.216848090861273281e-06,3.483515839884699972e+01,2.615940664448449127e+01
-2.645274725274723881e-05,4.472527472527469098e-06,1.831501831501829806e-05,-3.010083030468456400e+02,3.216640173380361179e-06,3.484997036629874145e+01,2.759036215716941953e+01
-2.386227106227104764e-05,1.694139194139193867e-05,-2.527472527472660394e-07,-2.986164126435644448e+02,3.216406129116876068e-06,3.486493096189894203e+01,2.908005654804614082e+01
-2.844542124542123149e-05,-1.310134310134313919e-06,4.390842490842488587e-05,-2.962437759798988850e+02,3.216145789136113940e-06,3.488002660500451668e+01,3.062576142421733394e+01
-2.495824175824174260e-05,9.622710622710619130e-06,4.290476190476189119e-05,-2.938910325268723227e+02,3.215859000959519688e-06,3.489524372780903150e+01,3.222474590744640466e+01
-2.665201465201463943e-05,1.215262515262514852e-05,3.788644688644687717e-05,-2.915588021715908553e+02,3.215545628857272610e-06,3.491056878575121658e+01,3.387427889330157171e+01
-2.316483516483515393e-05,3.207570207570203553e-06,1.931868131868130629e-05,-2.892476849372208108e+02,3.215205554128074950e-06,3.492598826786689159e+01,3.557163129689975278e+01
-2.406153846153844827e-05,7.815628815628811209e-06,2.758241758241744664e-06,-2.869582607163454782e+02,3.214838675365765679e-06,3.494148870707584820e+01,3.731407828331730769e+01
